496 186 638 179 473 304 682 293 453 411 694 409 536 395 617 392 531 557 631 551 562 693 643 703 
501 184 638 179 484 300 682 291 457 411 691 405 538 397 616 395 533 551 630 551 570 685 643 703 
508 179 634 179 495 296 675 288 470 410 673 398 538 396 614 395 529 544 628 545 579 679 643 703 
511 177 624 179 504 291 652 288 484 405 643 393 538 394 611 394 528 540 625 540 577 678 644 699 
512 177 610 180 511 292 630 291 493 401 598 373 538 395 607 397 524 528 619 535 558 664 644 691 
513 188 588 189 516 300 598 295 499 406 571 377 538 398 600 398 522 521 615 535 540 649 646 686 
513 201 566 195 515 315 586 311 500 415 550 379 532 412 586 406 522 526 606 534 536 644 646 680 
510 208 555 201 512 318 566 308 500 417 540 381 523 411 571 404 519 527 584 525 533 646 637 654 
506 213 535 207 512 319 546 307 503 417 531 382 516 409 547 401 512 521 544 505 537 641 584 605 
502 211 520 212 513 317 535 311 500 415 513 394 511 408 530 401 504 523 527 507 535 644 564 592 
499 211 501 214 513 317 513 313 498 414 494 397 504 408 509 402 501 524 494 500 535 645 525 598 
498 213 481 219 522 316 496 313 496 409 474 384 507 408 497 406 500 521 477 502 530 636 504 611 
498 219 463 229 525 319 475 320 498 411 455 385 508 409 480 407 501 521 451 500 532 637 471 597 
501 231 441 243 527 323 453 327 509 413 437 390 508 409 472 407 498 522 447 504 533 637 456 602 
501 245 424 254 530 329 432 331 524 418 422 397 507 408 467 407 486 520 447 504 532 634 456 602 
494 262 412 267 530 340 417 340 535 426 409 410 506 408 462 406 474 515 441 505 525 627 457 604 
486 276 398 283 528 350 404 351 543 433 402 419 507 408 460 408 473 508 438 503 513 615 454 605 
478 291 394 301 526 364 394 364 545 439 397 430 505 410 456 413 472 505 434 503 494 607 457 606 
477 308 387 321 526 383 390 384 545 453 396 447 504 415 455 418 473 501 433 501 490 605 456 604 
475 324 386 334 520 392 388 399 541 462 401 462 501 421 453 425 471 503 431 502 489 605 457 605 
476 336 386 351 516 405 389 416 538 474 408 481 500 428 452 432 471 505 428 503 489 604 458 606 
476 349 386 359 514 414 389 419 536 481 411 480 497 427 449 430 471 506 424 505 488 603 457 606 
477 356 386 367 512 422 391 426 536 486 413 483 495 428 448 432 472 506 424 505 488 604 457 606 
478 359 385 374 512 427 394 434 535 488 415 489 495 431 448 436 471 506 424 505 488 604 457 607 
478 365 385 376 512 434 395 435 535 496 414 485 495 433 447 438 472 508 425 506 488 604 457 607 
478 364 386 378 513 434 397 437 535 497 414 487 495 435 449 440 472 508 426 506 488 604 457 607 
478 365 389 376 516 435 398 433 535 498 416 484 499 434 449 437 476 508 425 506 489 604 456 606 
480 365 390 377 520 433 400 434 535 497 418 486 505 434 455 437 483 506 426 505 489 603 456 605 
483 361 391 374 523 432 400 431 535 499 420 482 507 433 457 436 491 505 427 503 492 598 455 603 
488 356 394 372 525 430 406 436 535 500 424 490 516 432 464 436 501 504 430 504 501 598 455 602 
494 354 398 371 529 430 412 438 536 499 426 491 522 432 468 437 504 511 435 505 512 609 454 602 
501 353 403 371 535 430 421 444 540 501 432 504 530 433 474 438 516 516 438 505 516 613 454 601 
508 351 410 369 542 429 423 443 545 502 435 507 536 433 479 438 521 515 440 505 518 616 456 601 
513 347 417 368 549 428 425 441 553 501 439 509 543 432 486 438 526 516 443 503 517 617 464 601 
518 345 422 367 556 427 428 441 559 500 448 504 548 432 492 438 526 517 448 503 518 619 475 604 
524 344 426 366 560 427 431 436 561 502 452 503 550 432 496 438 525 518 456 503 518 620 479 611 
527 342 428 365 564 426 435 434 567 501 457 501 551 432 498 437 525 519 461 508 517 621 480 616 
530 341 433 364 570 425 439 430 573 501 461 494 555 433 503 438 524 519 463 512 516 623 480 622 
531 341 434 363 572 424 443 431 578 500 466 494 555 435 503 440 522 519 464 517 516 624 480 625 
534 342 436 364 576 425 444 432 582 502 466 494 555 438 503 442 522 519 462 518 515 624 479 626 
535 345 438 365 582 425 446 434 586 503 469 499 556 442 505 446 518 520 461 520 515 625 479 625 
536 349 439 368 587 425 447 437 587 504 469 501 557 447 506 450 515 521 460 520 515 625 479 625 
537 354 442 369 593 425 446 437 590 505 468 500 558 453 508 454 510 521 459 519 515 625 480 625 
539 362 446 372 599 427 447 438 593 505 472 499 562 461 514 460 505 521 459 518 515 625 480 625 
543 367 448 379 605 429 451 443 596 506 472 503 563 471 516 472 504 519 457 514 512 625 480 623 
546 372 453 381 610 431 452 444 599 508 470 502 567 481 522 483 502 518 457 514 512 624 480 623 
553 377 460 383 615 435 453 445 599 509 469 501 568 489 522 489 498 517 456 513 514 622 479 622 
555 376 464 384 617 435 456 447 598 509 468 509 570 491 523 490 500 515 456 507 518 622 476 620 
557 375 467 385 619 435 460 450 600 509 468 518 572 488 525 486 500 513 456 502 519 623 454 615 
557 372 469 385 617 435 464 452 601 509 469 524 572 489 527 487 498 511 454 501 518 622 439 615 
556 372 469 387 615 434 468 458 601 508 469 525 572 492 527 491 497 507 449 502 518 619 431 615 
554 373 468 391 614 434 470 462 600 508 469 525 571 494 527 494 497 505 448 502 510 619 431 615 
554 373 465 394 612 433 467 463 600 508 468 528 571 493 527 494 496 505 446 502 503 625 431 616 
549 372 461 394 612 430 460 461 599 506 467 526 570 492 527 494 497 504 444 502 501 626 431 616 
546 372 455 393 610 429 447 459 599 504 464 516 566 492 523 493 492 505 441 501 500 627 431 616 
544 372 452 392 604 429 439 454 593 504 456 514 561 492 516 492 488 505 436 501 500 628 430 616 
544 372 451 388 597 431 434 450 584 506 450 513 556 492 507 491 485 505 427 501 500 630 429 618 
544 370 451 382 591 437 432 445 572 509 444 511 551 493 499 492 481 506 417 502 491 629 427 618 
546 370 452 376 587 442 431 439 563 511 435 503 545 494 494 491 475 507 407 502 464 630 425 619 
548 370 453 373 585 445 428 433 558 513 427 495 541 494 489 491 473 516 400 501 445 631 421 620 
549 373 453 371 583 449 425 430 554 516 420 492 535 496 482 491 470 520 397 500 441 633 417 620 
